date,TA,RH,WS,WD,GHR,PCP
2009/01/01 00:00,23.0,78.0,2.2,276.2,0.0,0.0
2009/01/01 01:00,23.0,77.2,2.4,257.7,0.0,0.0
2009/01/01 02:00,23.4,72.0,2.5,179.2,0.0,0.0
2009/01/01 03:00,23.2,73.5,2.3,225.7,0.0,0.0
2009/01/01 04:00,22.7,80.7,2.0,208.5,0.0,0.0
2009/01/01 05:00,22.5,81.5,2.5,217.8,0.0,0.0
2009/01/01 06:00,22.5,81.5,2.9,203.2,12.8,0.0
2009/01/01 07:00,23.2,79.5,1.6,198.5,100.3,0.0
2009/01/01 08:00,25.5,68.5,1.7,203.2,380.7,0.0
2009/01/01 09:00,27.4,59.0,2.1,205.2,595.0,0.0
2009/01/01 10:00,28.7,56.0,2.5,233.5,727.3,0.0
2009/01/01 11:00,30.1,51.7,1.9,168.0,735.5,0.0
2009/01/01 12:00,31.6,47.3,2.8,161.0,664.8,0.0
2009/01/01 13:00,30.0,51.0,1.9,216.8,108.7,0.0
2009/01/01 14:00,29.9,51.7,2.1,218.8,177.2,0.0
2009/01/01 15:00,30.3,50.2,3.2,230.2,185.0,0.0
2009/01/01 16:00,29.0,51.7,3.4,209.2,72.3,0.0
2009/01/01 17:00,28.4,54.5,3.9,211.2,47.0,0.0
2009/01/01 18:00,28.0,55.0,2.8,218.2,12.3,0.0
2009/01/01 19:00,27.1,55.3,2.7,236.5,0.0,0.0
2009/01/01 20:00,25.7,61.5,4.4,231.2,0.0,0.0
2009/01/01 21:00,24.9,63.0,6.2,226.5,0.0,0.0
2009/01/01 22:00,24.0,72.5,7.7,217.3,0.0,0.0
2009/01/01 23:00,23.6,75.7,3.7,206.5,0.0,0.0
2009/01/02 00:00,23.3,77.5,1.1,291.0,0.0,0.0
2009/01/02 01:00,23.2,74.3,1.6,231.3,0.0,0.0
2009/01/02 02:00,23.5,66.7,1.0,137.3,0.0,0.0
2009/01/02 03:00,23.3,68.5,1.0,88.2,0.0,0.0
2009/01/02 04:00,23.1,70.7,0.7,185.7,0.0,0.0
2009/01/02 05:00,23.1,71.3,0.6,225.7,0.0,0.0
2009/01/02 06:00,22.8,72.3,0.3,132.5,17.5,0.0
2009/01/02 07:00,23.9,67.8,0.7,123.5,149.3,0.0
2009/01/02 08:00,25.3,65.5,0.8,128.3,365.7,0.0
2009/01/02 09:00,27.2,53.2,1.5,169.0,464.0,0.0
2009/01/02 10:00,28.3,51.7,1.9,199.0,607.2,0.0
2009/01/02 11:00,30.3,46.2,1.8,172.3,760.0,0.0
2009/01/02 12:00,31.3,43.5,2.4,149.8,583.7,0.0
2009/01/02 13:00,30.9,45.0,2.7,152.3,441.0,0.0
2009/01/02 14:00,30.7,45.8,2.7,220.7,362.0,0.0
2009/01/02 15:00,30.2,49.2,2.4,215.7,242.7,0.0
2009/01/02 16:00,29.7,50.7,2.7,223.7,99.7,0.0
2009/01/02 17:00,28.9,55.0,2.2,207.8,38.7,0.0
2009/01/02 18:00,28.0,59.8,3.8,219.7,8.0,0.0
2009/01/02 19:00,27.3,59.8,3.1,228.3,0.0,0.0
2009/01/02 20:00,26.6,57.5,4.1,229.5,0.0,0.0
2009/01/02 21:00,25.6,59.5,4.0,220.7,0.0,0.0
2009/01/02 22:00,25.3,55.5,4.8,218.7,0.0,0.0
2009/01/02 23:00,25.1,55.2,4.7,224.8,0.0,0.0
2009/01/03 00:00,24.7,59.3,4.0,221.5,0.0,0.0
2009/01/03 01:00,23.9,67.2,2.8,221.2,0.0,0.0
2009/01/03 02:00,23.6,69.5,1.8,229.0,0.0,0.0
2009/01/03 03:00,24.3,58.0,2.2,239.3,0.0,0.0
2009/01/03 04:00,24.3,56.8,1.1,233.7,0.0,0.0
2009/01/03 05:00,24.4,51.3,1.2,276.8,0.0,0.0
2009/01/03 06:00,24.1,54.5,1.1,303.7,5.7,0.0
2009/01/03 07:00,24.4,58.2,0.8,268.7,93.7,0.0
2009/01/03 08:00,26.2,51.8,1.0,274.3,360.3,0.0
2009/01/03 09:00,28.1,44.3,1.1,225.8,561.8,0.0
2009/01/03 10:00,29.3,41.3,1.4,171.5,699.8,0.0
2009/01/03 11:00,30.7,38.7,2.1,125.7,764.2,0.0
2009/01/03 12:00,32.3,36.5,2.9,113.7,887.3,0.0
2009/01/03 13:00,31.8,39.5,2.1,121.0,435.3,0.0
2009/01/03 14:00,32.1,39.0,1.8,169.0,408.7,0.0
2009/01/03 15:00,33.1,37.0,1.8,136.5,551.3,0.0
2009/01/03 16:00,31.8,41.0,1.7,160.2,93.8,0.0
2009/01/03 17:00,30.8,46.8,2.7,241.2,92.7,0.0
2009/01/03 18:00,29.8,51.5,2.6,205.3,17.8,0.0
2009/01/03 19:00,28.7,51.0,4.7,265.7,0.0,0.0
2009/01/03 20:00,27.4,55.5,1.5,215.7,0.0,0.0
2009/01/03 21:00,26.4,58.5,1.9,194.5,0.0,0.0
2009/01/03 22:00,25.7,62.0,4.3,220.2,0.0,0.0
2009/01/03 23:00,25.0,68.3,3.2,233.7,0.0,0.0
2009/01/04 00:00,24.8,69.0,1.1,258.5,0.0,0.0
2009/01/04 01:00,24.8,67.0,0.8,192.0,0.0,0.0
2009/01/04 02:00,24.3,72.3,1.6,175.7,0.0,0.0
2009/01/04 03:00,24.1,72.2,1.8,266.0,0.0,0.0
2009/01/04 04:00,23.9,74.0,1.7,281.5,0.0,0.0
2009/01/04 05:00,23.8,74.3,1.1,243.5,0.0,0.0
2009/01/04 06:00,23.6,75.8,1.1,315.3,10.3,0.0
2009/01/04 07:00,24.2,73.2,1.2,306.5,89.3,0.0
2009/01/04 08:00,25.4,65.7,1.5,264.7,216.7,0.0
2009/01/04 09:00,27.4,51.8,1.5,209.8,488.0,0.0
2009/01/04 10:00,29.2,45.3,2.0,197.5,535.7,0.0
2009/01/04 11:00,31.0,42.3,1.7,175.3,808.5,0.0
2009/01/04 12:00,31.9,40.8,2.5,150.2,811.3,0.0
2009/01/04 13:00,32.6,37.7,2.6,135.3,914.5,0.0
2009/01/04 14:00,33.2,36.2,3.4,167.8,768.0,0.0
2009/01/04 15:00,32.8,38.3,2.6,174.0,583.2,0.0
2009/01/04 16:00,31.0,43.8,3.4,199.8,278.3,0.0
2009/01/04 17:00,29.9,46.0,2.8,185.2,89.8,0.0
2009/01/04 18:00,28.7,47.7,2.8,214.2,9.7,0.0
2009/01/04 19:00,28.0,52.5,2.8,233.7,0.0,0.0
2009/01/04 20:00,27.6,49.3,3.5,237.8,0.0,0.0
2009/01/04 21:00,27.5,42.0,4.3,219.2,0.0,0.0
2009/01/04 22:00,26.7,49.3,4.8,231.2,0.0,0.0
2009/01/04 23:00,25.3,65.3,3.7,243.7,0.0,0.0
2009/01/05 00:00,24.6,67.7,1.8,276.5,0.0,0.0
2009/01/05 01:00,24.5,66.2,1.8,182.3,0.0,0.0
2009/01/05 02:00,23.9,76.3,3.0,229.5,0.0,0.0
2009/01/05 03:00,23.6,75.5,3.4,235.7,0.0,0.0
2009/01/05 04:00,24.0,66.3,1.4,226.2,0.0,0.0
2009/01/05 05:00,24.3,64.5,1.3,219.7,0.0,0.0
2009/01/05 06:00,24.3,63.8,0.5,217.0,7.5,0.0
2009/01/05 07:00,24.7,61.8,0.6,191.0,77.3,0.0
2009/01/05 08:00,26.2,56.8,1.0,221.5,268.2,0.0
2009/01/05 09:00,28.3,52.8,2.2,227.0,601.8,0.0
